id,type,entity
ge17791,Gene,SIRT3
ch359,Chemical,LINC00482
ch1776,Chemical,HHQ
ge64,Gene,POU2F3driven
ge18524,Gene,GIANA
di14681,Disease,LNM
ch141,Chemical,acridone
ge20237,Gene,FOXA1independent
ch57,Chemical,TIM
ch5809,Chemical,triamterene
ge14878,Gene,siTIM
di9782,Disease,CS
ge8092,Gene,FA
ge1788,Gene,Grp78
ch3207,Chemical,vinblastine
ge17887,Gene,PlexinB3
ge4181,Gene,TFAP2C
ge8402,Gene,HDAC5
ge3353,Gene,HMGB1TLR4NFkappaB
ge8146,Gene,GSTA1
ge602,Gene,LuADs
ch5164,Chemical,let7b
di9043,Disease,LSSinduced
ch1702,Chemical,celloforigin
di4094,Disease,KRASm
ge14050,Gene,PRKCE
ch5226,Chemical,AZD1775
ch5220,Chemical,SiO2
ge20463,Gene,SREBF1
ge14443,Gene,Treginducing
ge16714,Gene,ASCL12
ge6957,Gene,CDKIs
di4331,Disease,DRPS
ge10119,Gene,KIT
ch2965,Chemical,PF543
ge4042,Gene,KEAP1NRF2
di3817,Disease,cognition
ge11033,Gene,hnRNPA2B1
di11406,Disease,OST
ge15937,Gene,PYCR1
di1174,Disease,PJP
di8185,Disease,severeOSA
ch4623,Chemical,Nickel
di8090,Disease,SP
di432,Disease,SACC
ch177,Chemical,sirolimus
ge11850,Gene,CDK1
di13269,Disease,TSDRR
ch911,Chemical,Aumolertinib
ge15277,Gene,Low
ge3664,Gene,EPHB2
ge12567,Gene,drivergene
ge5037,Gene,Trp53floxflox
ge451,Gene,GCsGR
ge19813,Gene,antiSTAT3
ge3078,Gene,BRUCE
ge4773,Gene,Tregs
ge335,Gene,LCSeP
ch2050,Chemical,Zn
ge6728,Gene,DEP
ch825,Chemical,calycosin
di7065,Disease,radionecrosis
ch326,Chemical,PtSe
ge2407,Gene,A2aR
ge6539,Gene,OSM
ge18190,Gene,CC1deficient
ge7501,Gene,circ0009624
ge6007,Gene,Protocadherin10
ge12331,Gene,HSP90AA1HighHIF1AHigh
ge20072,Gene,topoisomerase1
ch1720,Chemical,sugar
di13373,Disease,HLSCLC
ge1926,Gene,TargetScan
ge10860,Gene,miR1855p
ge7151,Gene,PTPN11Shp2
di10949,Disease,ICIAKI
ch1990,Chemical,RenieramycinType
ch5705,Chemical,mevastatin
ch2668,Chemical,hydroxylamine
ge5836,Gene,FBXO21KRT16vimentin
ch4493,Chemical,NonPlatinum
di12124,Disease,IPE
di2037,Disease,PLAM
di2376,Disease,tumorspecific
ge9856,Gene,VAChT
di4392,Disease,PLCH
di1041,Disease,SCLCI
di6142,Disease,endstage
ge9989,Gene,MDK
ge4475,Gene,DDX41
di7109,Disease,HIVuninfected
ge19303,Gene,Synaptophysin
ge4144,Gene,ghrelin
ch101,Chemical,RO4929097
di10952,Disease,TTI
ch279,Chemical,HDVRNA
di6794,Disease,HAPCI
ge12342,Gene,pcJun
ge19899,Gene,GBP3
ge21301,Gene,TUBA1ACD8TcellsC4
ge14564,Gene,Snail
ge1710,Gene,SHERLOCK
ge18418,Gene,MCC
ch713,Chemical,delta24sterol
ge4534,Gene,ITGA7
ge14539,Gene,CANT1
ch5822,Chemical,isatin
ch5392,Chemical,4AP
di14702,Disease,COAD
ch5438,Chemical,taxaneplatinum
ch5467,Chemical,Nintedanib
di7845,Disease,TBAnegative
ge4609,Gene,H3K27Ac
ge3335,Gene,miR488
ch4823,Chemical,betaCarotene
ch658,Chemical,porphyrins
ge4525,Gene,ALKL1196MG1202R
ge351,Gene,Pem
ch4731,Chemical,LCAT
ge908,Gene,ILC2
ge10824,Gene,MAGEA4
ch5064,Chemical,PlaD
di4724,Disease,bacterial
ge9745,Gene,IL1313SHpODE
di6133,Disease,depression
ge2362,Gene,STK11mutant
ge10663,Gene,CADM2
ch4014,Chemical,alkyneazide
ge12545,Gene,SUPT16H
ge978,Gene,CLEC4M
di10925,Disease,oncological
di3117,Disease,thymectomy
di7080,Disease,cachexiainducing
ge3391,Gene,CD40TRAF
ch1609,Chemical,PGEA
di8711,Disease,stillbirth
ge9992,Gene,GPP
ge14928,Gene,APF1
ge13261,Gene,LINC00963
di8094,Disease,ICIp
ge7184,Gene,TBX15TNFSF11
di11359,Disease,ALKTKIs
ge2006,Gene,CARs
di8594,Disease,LBM
ge1993,Gene,TRAF6
ch5361,Chemical,BAT1706
ch2582,Chemical,lafutidine
ch4089,Chemical,phenolicflavonoid
ge18682,Gene,Tek
ge7885,Gene,AL133445
ge8834,Gene,1PDL1
ge19453,Gene,ALDH1A3
ch2138,Chemical,Organosulfur
ch4729,Chemical,steroid
ch137,Chemical,LaCoO3
di11185,Disease,CTRL
ge12473,Gene,sULBP4
ge11723,Gene,GSDMD
ge10902,Gene,BIM
ch4243,Chemical,zeaxanthin
ch291,Chemical,PtL3
ch5193,Chemical,curaxin
ge12261,Gene,ANCApositive
ge8008,Gene,cg20214535
ge18812,Gene,sHSP
ge18146,Gene,PKCalpha
ge4488,Gene,microRNA223p
ge14652,Gene,UBA3
ge6368,Gene,Cbx4LL
ge2234,Gene,CircHMGA2
ge9724,Gene,TLT1
di8007,Disease,DCA
ge16014,Gene,E7specific
ge16062,Gene,SSD
ge20533,Gene,alphaVbeta6
ge6395,Gene,CCDC176RET
ge4974,Gene,EGFRmutation
ch4574,Chemical,Lys16
ch2686,Chemical,Avelumab
ge2889,Gene,LPCQPC02
ge3729,Gene,LDOC1
ge12057,Gene,Nof1
ge8325,Gene,FXR1ECT2
ge19462,Gene,msH
ge14874,Gene,LYN
ch5535,Chemical,fluzoparib
ge2838,Gene,FGFRPEA3
ge2384,Gene,Sialyltransferase
di9516,Disease,CLU
ch3332,Chemical,PMA
ch1752,Chemical,NPD689
ch2286,Chemical,Trp53R172H
ge6710,Gene,Act
ch5070,Chemical,desipramine
ge11202,Gene,PDPN
ge8385,Gene,exorhTbeta4
ge20496,Gene,CCCN
ge10740,Gene,Tp53
ch964,Chemical,methylprednisolone
ge6063,Gene,CC1
ge20881,Gene,CAGE1
ge18923,Gene,S100a4
ge19009,Gene,EGR3
ge21111,Gene,P21HRAS
di8679,Disease,EAU
ch2141,Chemical,Cis
di6446,Disease,PCs
ge18492,Gene,Gpx4
ge11177,Gene,PRPRB
ge16098,Gene,Fbxl7
ge11389,Gene,CENPK
ch5389,Chemical,GlyIle
ge2657,Gene,Mycvectortransfectedcells
ge17980,Gene,CAT1enhanced
ch5780,Chemical,SJZT
ch2741,Chemical,WG12595A
ge17814,Gene,LINC01150
ge3401,Gene,KRASspecific
ge4546,Gene,THBS1ITGB1
di5759,Disease,NENs
ge16116,Gene,GLA
ge14,Gene,Neoantigen
ge14212,Gene,miR67493p
ge20395,Gene,interleuken8
ge2254,Gene,ATMATR
ch1220,Chemical,europium
ch5869,Chemical,IR820
ch5870,Chemical,Celastrol
di2161,Disease,Gefitinib
ge11331,Gene,LASS2TMSG1
ge8031,Gene,PRMT5FGFR3Akt
ge2135,Gene,Serum
ch387,Chemical,UFT
di14056,Disease,GSDMD
ge8609,Gene,ILF3
ch731,Chemical,phenolformaldehyde
ge17249,Gene,CD81
ge4949,Gene,ANKRD1
ge20014,Gene,SAL
ge603,Gene,ITGAM
ge864,Gene,GCN5
ge12299,Gene,SLC25A13
ge13347,Gene,urinary
ge4822,Gene,MUC5Brelated
ge14274,Gene,DLL3targeting
ge18766,Gene,CAF
ch2973,Chemical,emetine
ge1691,Gene,RR
ch4858,Chemical,ACh
ch2753,Chemical,N4acetylcytidine
di334,Disease,Hyperprogression
ch4966,Chemical,2chloroacetamide
ge14015,Gene,ROS1TKIs
ge86,Gene,miR365b3p
di3557,Disease,noncardiovascular
ch1082,Chemical,Cu2O
ge3388,Gene,Tak242
ge18570,Gene,IGF2BP3FOXM1
ge5002,Gene,RRM2
ge3058,Gene,uEGFR
ch5148,Chemical,O10
ge13059,Gene,ZNF687
ch5611,Chemical,PTB
ch1068,Chemical,Myricitrin
di10969,Disease,VAF
ge13042,Gene,VITALK
ch4878,Chemical,folate
ge12431,Gene,ApoEknockout
ge7576,Gene,p40
ge1814,Gene,MUC16MUT
ge18215,Gene,NICD1
ge16597,Gene,CAFspecific
ge12371,Gene,PD1CTLA4
ge5416,Gene,PTGS2
ge2965,Gene,METTKIs
ch5962,Chemical,GSE72094
ch4806,Chemical,Griseofulvin
ge17570,Gene,DCP2
ge13544,Gene,Mycn
ch5037,Chemical,topotecancyclophosphamide
ge17862,Gene,msL
ch1938,Chemical,QTPlusAM21
ge16660,Gene,PlexinB1
ge2301,Gene,RBM10
ch4841,Chemical,cholesterolTC
di3490,Disease,ML
ge15850,Gene,PI3KAKTSTAT3ERK
ge18796,Gene,CDKN1A
ch4684,Chemical,fourdisulfide
ge12024,Gene,ATF2cJun
ch5796,Chemical,GSE190635
ge18312,Gene,miR196a5p
ge5306,Gene,ISLR2
ge19513,Gene,CTLmediated
ch2239,Chemical,Sungsanpin
di3691,Disease,CPAM
ge12382,Gene,PDCD1
ge14168,Gene,mChrY
ch2819,Chemical,ovatodiolide
ge18575,Gene,TP53CDKN2AB
ch5076,Chemical,CYCS
ge5564,Gene,miR148a
ch4703,Chemical,paclitaxelnabpaclitaxel
ge9551,Gene,SAMSN1
ge15214,Gene,Cullin3SPOP
ge12241,Gene,NOX
ge17040,Gene,eomesodermin
ge8488,Gene,PKHD1L1
ge3896,Gene,KnockTF
ch5330,Chemical,SFI
ge3726,Gene,VEGFR1
di93,Disease,immunodeficiency
ge903,Gene,FLCN
ge7096,Gene,miR31QKI5
ge1444,Gene,HTDBP
ge11106,Gene,ASCT2
ge3692,Gene,miR4975p
ge16016,Gene,ARID1B
di8413,Disease,bronchoplasty
ch2046,Chemical,methicillinsusceptible
ge12321,Gene,TEDC2
ge20442,Gene,IFNbeta
ch402,Chemical,Alcohol
ge13796,Gene,ZNF703
ch467,Chemical,carboplatinetoposide
ge165,Gene,METdriven
ch3769,Chemical,Ensatinib
ge7080,Gene,P62
ge5792,Gene,CD74
ge9542,Gene,Klotho
ch4589,Chemical,PEGAuNP
ch1067,Chemical,VitC
ge7042,Gene,miR51953p
di11951,Disease,Neoplasms
di10263,Disease,cancerbearing
ge13917,Gene,antiPDL1mediated
ge16777,Gene,WDR5induced
ch1077,Chemical,DOC
ge3787,Gene,FAKRAC1PAK
ge5407,Gene,SLIT3
ge14430,Gene,BAP1MTAP
ch3843,Chemical,antimony
ch3046,Chemical,NIVOIPI
ch3259,Chemical,CpG
ch1583,Chemical,xanthohumol
ge15096,Gene,let7b
ch4639,Chemical,Adavosertib
ge2266,Gene,KLK5
ge18549,Gene,DH25
ge4934,Gene,DAKO
ge7164,Gene,SOX18
ge16130,Gene,CD62L
di13006,Disease,NASH
di1711,Disease,abdominalthoracic
ge6807,Gene,CD163expressing
ge3007,Gene,MiR135a
ge16929,Gene,PKM
ch4542,Chemical,Hg
ge8256,Gene,HOXA11
ge5506,Gene,dulluciferase
ch960,Chemical,BI2536
ge11170,Gene,pFoxO3a
ch3328,Chemical,codeine
ge13024,Gene,caspase9
di3456,Disease,sarcoma
di4675,Disease,VATS
ch5147,Chemical,lenvatinib
ge18583,Gene,NLRP3caspase1GSDMDrelated
ge9241,Gene,EFGRmutant
ge19675,Gene,MCM2
ge636,Gene,PKM2PDK1
ge9737,Gene,H22
ge13655,Gene,IFNalpha2b
ch1590,Chemical,STZinduced
ge9386,Gene,tastin
ge2223,Gene,H3F3B
ch3536,Chemical,AZIN
ge10666,Gene,MIG6STAT3
ge7869,Gene,EXP1
ge483,Gene,4LOXL4
di2378,Disease,mCRC
ge9095,Gene,ROSJNKSP1ACSL4
ge16921,Gene,NCOR2
di14878,Disease,lobectomy
ge7902,Gene,mIF
ge43,Gene,NTRK2
ge14988,Gene,miR4113pinhibited
ge9051,Gene,hsamiR75p
ge18597,Gene,CHRNA5mediated
ge15052,Gene,JAC4CTBP1
di6404,Disease,HVH
ge4284,Gene,SKA3PLK1
ge3009,Gene,NLRP1
ch4960,Chemical,CFSE
ge238,Gene,LINC02159
ge9539,Gene,Her2
ge18505,Gene,IL25
ch2577,Chemical,anthracite
ch1977,Chemical,dNDPs
ge2281,Gene,LINC00969
ge18611,Gene,EMA
ge11207,Gene,UBE1Cmediated
ge12182,Gene,OxPLs
ge6891,Gene,JunB
ge3279,Gene,MALAT1CIRBPERK
ge12741,Gene,ILASNF
ch1191,Chemical,18FDG
di12741,Disease,adenomas
ge9433,Gene,DLLImmune
ge13297,Gene,Cdc25C
ge4930,Gene,PRIMPOL
ge19986,Gene,NWASP
ge12168,Gene,RBL1
di4639,Disease,ME
ge13498,Gene,ROS1rearranged
ge1672,Gene,miR3613p
ge1748,Gene,MYCtargets
ge15247,Gene,miR503
ge5502,Gene,Smad23
di6378,Disease,CuS
ge6506,Gene,EGFRT790Mmutated
ch3825,Chemical,propofol
di3246,Disease,WD
ge14100,Gene,miR1423p
di14986,Disease,KC
di715,Disease,MLM
ge798,Gene,miR451a
ge8418,Gene,ness
ge10496,Gene,EGFRTKIsensitizing
ch184,Chemical,thioether
ge18656,Gene,CYTOR
di14837,Disease,Hypercholesterolemic
di8421,Disease,FPC
ge3110,Gene,EFNA2
ge3531,Gene,TSG6
ge10291,Gene,TMPRSS2
di8294,Disease,dyslipidemic
di10447,Disease,stageSCLC
ch5279,Chemical,25C
ch1974,Chemical,Proline
ge14248,Gene,MCM6
ch1514,Chemical,PtPd
ge2275,Gene,PLCgamma1
ge1033,Gene,AdKLK8
ge19873,Gene,PP4
ge15120,Gene,PAX6
ge4823,Gene,SMARCA4BRG1
ge20666,Gene,HSP70
ge526,Gene,Cx3cr1
ge19799,Gene,MYO1B
ge20403,Gene,clust1
ch5945,Chemical,CDDPloaded
ch796,Chemical,benzimidazole
ch325,Chemical,osimertinibresistant
ch3743,Chemical,SKF96365
di15596,Disease,DN
ge19485,Gene,PDCD1LG2PD1
ge1528,Gene,TKI
ge9441,Gene,ACTHproducing
di14307,Disease,BMICs
di14576,Disease,oligoprogressive
ge11910,Gene,TRIM2
ge467,Gene,HERVHCALB1
ge4516,Gene,HNF1B
ge5862,Gene,Circ0080608
ge21165,Gene,ARHGAP25
ch365,Chemical,PDCline
ge8536,Gene,FAM3C
ge20527,Gene,cSrc
ge19271,Gene,SLC7A11HMMR
ge13782,Gene,circHIPK3
ge18050,Gene,FBXL5IRP2
di3897,Disease,PIH
ch4920,Chemical,THC
ch1342,Chemical,alectinibinduced
ge11478,Gene,CYP2D9
ge12366,Gene,ZO2
ge16147,Gene,ATP5A1
ch1182,Chemical,EV408
ch729,Chemical,circ0020123
ge9520,Gene,hydrolase
ge14134,Gene,mirDIP
ch5942,Chemical,LINC00621
ge8506,Gene,CCT
di3462,Disease,cuproptosis
ge7794,Gene,SLUG
ge7926,Gene,PLA
ge16638,Gene,TNFR2
ge613,Gene,VP16
di6868,Disease,ILNs
ch4343,Chemical,PTPBS
ch2073,Chemical,hsacirc0070661
ch983,Chemical,DAP10
ge10963,Gene,p21WAF1
ge4942,Gene,H3K27ac
ge2606,Gene,SFAS
ch4584,Chemical,thymine
ge9091,Gene,IL32betadeceased
ch1172,Chemical,SRI011381
ge2148,Gene,AKTPI3K
ch3508,Chemical,Oleclumab
ge5360,Gene,E2F45
ch5808,Chemical,Spindolol
ge394,Gene,ATG5AATG16LATG4BBeclin1
ge4105,Gene,SLC15A4
ge12907,Gene,FAM138B
ch1353,Chemical,levoleucovorin
ge20109,Gene,Deubiquitinases
ch120,Chemical,CIN
ge13971,Gene,KLF4
ch4879,Chemical,FuIO
di5207,Disease,Cryptococcosis
di6077,Disease,polysomy
ge1086,Gene,CBD
ge12163,Gene,CEMIP
ge859,Gene,YAPTAZ
ge1520,Gene,CYP2D10
ch1779,Chemical,SYT7
ch1667,Chemical,Circ0060937
ch5491,Chemical,4Acyl1phenylaminocarbonyl2substitutedpiperazine
ge9292,Gene,PNALNA
ge15839,Gene,PARPATR
ch1803,Chemical,AURKB
ge20817,Gene,claudin5
di142,Disease,NSNSCLC
ge8577,Gene,KRASG12Cpositive
ch1008,Chemical,guanylate
ge15487,Gene,VTCN1
di14668,Disease,SgT
ge546,Gene,TNFalpha9
ge6084,Gene,NME4
di9967,Disease,MiL
ge15977,Gene,OPA1hi
ge20913,Gene,PanTRK
ge19158,Gene,rhGCSF
ge7793,Gene,Cyfra211
ge11549,Gene,DGIdb
ge7020,Gene,MiR29a3pNKIRAS2
ge2310,Gene,9BrNosIBr2Hb
ge4644,Gene,TIMP1
ge19573,Gene,BRAFV600Emutant
di5476,Disease,SMA
ge18996,Gene,TPGStransferrin
ge3761,Gene,exLRs
ge1541,Gene,IL13triggered
di6713,Disease,esophagitis
ge18147,Gene,procalcitonin
ge7895,Gene,MYCMIZ1
ch5647,Chemical,PFAP
ge15997,Gene,BRAFKRASTP53
di3130,Disease,ILAs
ch4704,Chemical,Oxitinib
ge14426,Gene,NBPF20
ch2483,Chemical,malononitrile
ge18808,Gene,Maspin
ge14037,Gene,CD11cHLADR
di2934,Disease,HUS
ge8235,Gene,AktNFkappaB
ge4124,Gene,HMGA1
ch4308,Chemical,Met
di7948,Disease,SPA
di3741,Disease,MDAS
ch5792,Chemical,OCA
ge3205,Gene,ALBNPs
ge4617,Gene,BclxL
ch3243,Chemical,onecarbon
ge924,Gene,TRM
ge18371,Gene,5b
ge18667,Gene,ITPKA
ch3488,Chemical,Pterostilbene
ge2579,Gene,Tlymphocyteassociated
ge21173,Gene,Nectin4
ge18949,Gene,AMPKNLRP3
ge9771,Gene,RRP1
ge17884,Gene,RyRmediated
ge11224,Gene,PRPRBpositive
ge18095,Gene,pPI3KPI3k
di13818,Disease,Diabetes
ge10402,Gene,NatD
ch5583,Chemical,pemetrexedcisplatin
ge8797,Gene,IFNinduced
di4772,Disease,PPL
ge11877,Gene,p4EBP1
ch4925,Chemical,Imidazole
ch5261,Chemical,deoxyelephantopinpeak
ge3523,Gene,TEAD
ge12770,Gene,HMB45
ge17687,Gene,CMTAgNPs
ch5959,Chemical,MG132
ge9142,Gene,MATE12K
ge16591,Gene,DNAM1
ge13157,Gene,PTM
di12138,Disease,SCCs
ch3071,Chemical,benzodiazepine
ge8433,Gene,ATF3
ge13455,Gene,RAG8
di7471,Disease,MMT
ge15345,Gene,BRG1deficient
ge12791,Gene,mucin21
ge10313,Gene,IL34
di8863,Disease,SCRC
ch1363,Chemical,RSL3induced
ch4529,Chemical,UNC10104889
di6260,Disease,ESPB
ch3687,Chemical,PPFE
ge17161,Gene,EGFRNotchtargeting
ge8387,Gene,MEM40
di6936,Disease,TAO
ge17421,Gene,RadscoreLDA
ch4143,Chemical,AMG900
ch5613,Chemical,histidine
ge16844,Gene,SNHG6
ge11578,Gene,circTLCD4RWDD3induced
ge13900,Gene,NTRK3
ge5121,Gene,IFNalpha
ch2349,Chemical,dabigatran
di12684,Disease,CONUT
ge20378,Gene,CYR61
ge21288,Gene,Th17related
ch3499,Chemical,SGX523
ge20570,Gene,PeM
ge18983,Gene,TCRdependent
ge3065,Gene,BRAFI
ge10977,Gene,HLAII
ge21321,Gene,Rab
ch3768,Chemical,MnO2NSs
ch2603,Chemical,tryptophanNAD
ge14395,Gene,MLR
ge12356,Gene,APOBEC3A
ge13288,Gene,TPF
di14952,Disease,MPN
di201,Disease,biphasic
ge6250,Gene,Bad
ge9258,Gene,21L858R
ch3514,Chemical,Phenformin
ge18501,Gene,HDLcholesterol
ge18674,Gene,circHMGA2
ge15464,Gene,ZHX2
ge12408,Gene,SLC25A4
di575,Disease,ALK
di11244,Disease,ALRI
ch1452,Chemical,Au
ge6997,Gene,RASdriven
ge18017,Gene,ROSSirt3SOD2
ge11,Gene,FcgammaRs
ch4867,Chemical,PPI
ge15092,Gene,CGI
ge19978,Gene,Trabectedin
ch4648,Chemical,Asp594Gly
ge17054,Gene,miR13045pLAD1
ge5552,Gene,miR34c
ge817,Gene,This
ge9318,Gene,H3K27
ge18666,Gene,Exo
ge18328,Gene,TNFRSF14
ge1687,Gene,CDT1
ge4141,Gene,hsamir935p
ch2433,Chemical,N803
di338,Disease,FEinduced
ge12136,Gene,STAB1
ch5151,Chemical,Cisplatinloaded
ge4653,Gene,TMEM16A
ge12338,Gene,ETO
di10163,Disease,leucopenia
di15135,Disease,NEC
ge9083,Gene,caveolinmediated
ge6608,Gene,GPX1
ch4894,Chemical,eriocitrin
ge18644,Gene,EEF1D
ge7705,Gene,GLS1
ge20012,Gene,Sema4Anegative
ge16695,Gene,ctDNA
di10247,Disease,nonTAPO
ge17617,Gene,DNAPK
ge13636,Gene,MMA307
ch4721,Chemical,netaplatin
ge15145,Gene,sTNFR1
ge13497,Gene,KDM5s
di7627,Disease,pneumonia
di8580,Disease,dysgeusia
ge21106,Gene,HLAA2
ch134,Chemical,acyldepsipeptides
ge1654,Gene,DDPM1Exos
ge1397,Gene,FIBP
ch4278,Chemical,Wogonin
di8467,Disease,postsurgical
ge1809,Gene,TTK
ch3999,Chemical,silicaloaded
ge5249,Gene,124IATL2
ge3469,Gene,PPCSFs
ge5434,Gene,cKIT
ge3514,Gene,RNF6
ch4663,Chemical,sterol
ge413,Gene,miR23a3pDICER1
ge18307,Gene,RBDREAM
ge3655,Gene,circRNAAnnexinA7
di5602,Disease,FLDS
ch1356,Chemical,circ0000376
di12650,Disease,PACs
di1210,Disease,YTHDC1high
ge15378,Gene,tyrosinekinaseinhibitorrelated
ge21136,Gene,HsamiR1955p
ge2224,Gene,TPR
ge3652,Gene,CLDN18
ge10186,Gene,pcDNAAmbra1
ge19424,Gene,CD8Tregs
ge9680,Gene,PP4R3alpha
di14482,Disease,POSTLIPI
ch2183,Chemical,piperidone
ch1241,Chemical,polycaprolactonebased
di8766,Disease,thyroiditis
di112,Disease,GCCL
ge15297,Gene,NCKAP1
ge8453,Gene,CD8predysfunctional
